Genre,Movie,Release Year,Rating,Runtime,Gross
"Action, Adventure, Fantasy",Avatar,2009,7.9,162 ,2922917914
"Action, Adventure, Drama",Avengers: Endgame,2019,8.4,181 ,2797501328
"Drama, Romance",Titanic,1997,7.9,194 ,2201647264
"Action, Adventure, Sci-Fi",Star Wars: Episode VII - The Force Awakens,2015,7.8,138 ,2069521700
"Action, Adventure, Sci-Fi",Avengers: Infinity War,2018,8.4,149 ,2048359754
"Action, Adventure, Fantasy",Spider-Man: No Way Home,2021,8.2,148 ,1916306995
"Action, Adventure, Sci-Fi",Jurassic World,2015,6.9,124 ,1671537444
"Animation, Adventure, Drama",The Lion King,2019,6.8,118 ,1663075401
"Action, Sci-Fi",The Avengers,2012,8,143 ,1518815515
"Action, Adventure, Fantasy",Avatar: The Way of Water,2022,7.7,192 ,1516558728
"Action, Crime, Thriller",Fast & Furious 7,2015,7.1,137 ,1515341399
"Action, Drama",Top Gun: Maverick,2022,8.3,130 ,1488732821
"Animation, Adventure, Comedy",Frozen II,2019,6.8,103 ,1450026933
"Action, Adventure, Sci-Fi",Avengers: Age of Ultron,2015,7.3,141 ,1402809540
"Action, Adventure, Sci-Fi",Black Panther,2018,7.3,134 ,1382248826
"Adventure, Family, Fantasy",Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130 ,1342359942
"Action, Adventure, Fantasy",Star Wars: Episode VIII - The Last Jedi,2017,6.9,152 ,1332698830
"Action, Adventure, Sci-Fi",Jurassic World: Fallen Kingdom,2018,6.1,128 ,1310466296
"Animation, Adventure, Comedy",Frozen,2013,7.4,102 ,1281508100
"Adventure, Family, Fantasy",Beauty and the Beast,2017,7.1,129 ,1264435322
"Animation, Action, Adventure",Incredibles 2,2018,7.6,118 ,1243089244
"Action, Crime, Thriller",The Fate of the Furious,2017,6.6,136 ,1236005118
"Action, Adventure, Sci-Fi",Iron Man Three,2013,7.1,130 ,1214811252
"Animation, Adventure, Comedy",Minions,2015,6.4,91 ,1159444662
"Action, Sci-Fi",Captain America: Civil War,2016,7.8,147 ,1153337496
"Action, Adventure, Fantasy",Aquaman,2018,6.8,143 ,1148528393
"Action, Adventure, Drama",The Lord of the Rings: The Return of the King,2003,9,201 ,1146457748
"Action, Adventure, Comedy",Spider-Man: Far from Home,2019,7.4,129 ,1131927996
"Action, Adventure, Sci-Fi",Captain Marvel,2019,6.8,123 ,1128462972
"Action, Adventure, Sci-Fi",Transformers: Dark of the Moon,2011,6.2,154 ,1123794079
"Action, Adventure, Sci-Fi",Jurassic Park,1993,8.2,127 ,1109802321
"Action, Adventure, Thriller",Skyfall,2012,7.8,143 ,1108569499
"Action, Adventure, Sci-Fi",Transformers: Age of Extinction,2014,5.6,165 ,1104054072
"Action, Drama, Thriller",The Dark Knight Rises,2012,8.4,164 ,1081169825
"Crime, Drama, Thriller",Joker,2019,8.4,122 ,1074458282
"Action, Adventure, Fantasy",Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,141 ,1074149279
"Animation, Adventure, Comedy",Toy Story 4,2019,7.7,100 ,1073394593
"Animation, Adventure, Comedy",Toy Story 3,2010,8.3,103 ,1066970811
"Action, Adventure, Fantasy",Pirates of the Caribbean: Dead Man's Chest,2006,7.3,151 ,1066179747
